Name,Country,Propulsion Electric $,Parked Electric $,Cold Ironing Electric $,Distance NM,Propulsion Days,Parked Days,Cold Ironing Days
1,SINGAPORE,3716640,38448,319332,15874,58,1,20
2,BELGIUM,1382400,34560,186576,6479,24,1,13
3,URUGUAY,56160,0,69966,546,2,0,10
4,MALAYSIA,93600,18720,77740,752,3,1,10
5,USA,656640,0,81807,4778,18,0,9
6,INDIA,324720,17712,66199,3053,11,1,9
7,SAUDI ARABIA,298080,9936,33010,4852,18,1,8
8,ARGENTINA,781440,12672,36837,10130,37,1,7
9,NIGERIA,237360,0,15429,6132,23,0,6
10,SPAIN,151200,15120,37674,1686,6,1,6
11,QATAR,8640,0,10764,314,1,0,5
12,UAE,132000,15840,26312,1301,5,1,4
